Comment,Designator,Footprint,LCSC Part Number
"100u","C201,C303,C403","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C312983"
"10u","C202,C205,C206,C207,C308,C401,C402,C506,C601,C702","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15850"
"47u","C203,C204","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C96123"
"1u","C301,C302,C304,C305,C701","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28323"
"100n","C306,C501,C505,C507,C508,C509,C510","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"470n","C307","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C13967"
"22p","C309","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1804"
"500p","C404","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1747"
"47n","C502","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C53134"
"4n7","C503","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1744"
"470p","C504","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1743"
"100p","C703","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1790"
"1N4148WS","D301,D302,D401,D402","Diode_SMD:D_SOD-323","C2128"
"LED","D403,D501","LED_THT:LED_D5.0mm",""
"MountingHole_Pad","H101,H102,H103,H104","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"MONOTRON","J101","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"PWR_IN","J201","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"VCO_SEL","J301","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"LFO_SEL","J401","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"SCALE_SEL","J601","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"CV_IN","J602","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"GATE_IN","J603","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"AUDIO_OUT","J701","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Net-Tie_2","NT201","NetTie:NetTie-2_SMD_Pad0.5mm",""
"2SC945","Q701","Package_TO_SOT_SMD:SOT-23","C181154"
"10k","R201,R202,R417,R501,R505,R506,R507,R509,R510,R512,R513,R515,R516,R518,R519,R521,R522,R524,R604,R607,R608,R610","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"100k","R301,R302,R303,R304,R305,R307,R309,R310,R311,R312,R318,R324,R325,R326,R327,R328,R329,R330,R331,R401,R402,R404,R406,R407,R408,R409,R410,R411,R412,R413,R420,R421,R502,R602,R609,R612,R613,R614,R616,R701,R702,R703,R706","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C149504"
"33k","R306","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17633"
"50","R308","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C131893"
"5k6","R313,R321","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C4382"
"4k7","R314","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17673"
"1M","R315,R322,R403,R503","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17514"
"47k","R316,R618","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17713"
"56k","R317","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17756"
"12","R319","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C204200"
"39k","R320,R419","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C25826"
"220k","R323","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17556"
"22k","R405","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17560"
"2k2","R414,R415,R416","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17520"
"180","R418,R504","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C25270"
"1k","R508,R511,R514,R517,R520,R523,R525,R601,R605,R619,R707","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"56","R603","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17757"
"390","R606","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17655"
"27k","R611","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17593"
"330k","R615","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17629"
"68k","R617","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17801"
"680k","R704","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17797"
"470k","R705","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17709"
"150k","R708","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17470"
"10k","RV301,RV501,RV503,RV505,RV506,RV507,RV508,RV509,RV510,RV602,RV701","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"100k","RV302","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"10k","RV303,RV401,RV601,RV603,RV605","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"20k","RV402,RV403","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"100k","RV502,RV504,RV606","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"220k","RV604","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW_SPST","SW501,SW502,SW601,SW603,SW605","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"SW_SPDT_MSM","SW503","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW_SPDT","SW504,SW602,SW604,SW701","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW_Push_SPDT","SW505","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"scale4V","TP601","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm",""
"L7805","U201","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp",""
"AMS1117-5.0","U202","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6187"
"LM321","U203,U304,U501","Package_TO_SOT_SMD:SOT-23-5","C7972"
"ICL7660S","U204","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","C7535"
"LM324","U301,U302,U401,U402","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C71035"
"4040","U303","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C725347"
"ENVGEN8","U502","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"TL082","U601,U602,U701","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C9385"
